Title,Total Cook Time,Prep Time,Cook Time,Recipe Servings,Difficulty,Ingredients,Image Link
Grilled Herb Chicken Breast with Honey and Asparagus Recipe,1 hr 10 mins,10 mins,1 hr,2.0,Medium,"Chicken, 1/2 pound chicken breast, skinless, 5 ml honey, 5 ml lemon, A pinch of thyme, Salt to taste, A pinch of black pepper, Sauce, 10 ml red wine, 30 ml brown sauce, A pinch of rosemary, 4 potatoes, boiled and thinly sliced",https://i.ndtvimg.com/i/2017-11/grilled-chicken_620x330_41510657005.jpg
Mint Julep Recipe,15 mins,05 mins,10 mins,2.0,Easy,"60 ml Jim Beam, 6-8 mint leaves, 3 lemon wedges, 100 gm crushed ice, Sugar to taste",https://www.ndtv.com/cooks/images/mint-julep.jpg
Pancake Recipe,25 mins,05 mins,20 mins,2.0,Easy,"1/2 cup maida, 1 egg, 1/4 cup milk, Water as required, 1/4 tsp salt, 1 tsp oil, 2 Tbsp oil for cooking the pancakes",https://www.ndtv.com/cooks/images/pancakes-620.jpg
Apple Sausage Plait Recipe,1 hr 10 mins,10 mins,1 hr,4.0,Medium,"200 gms flour, 100 gms diced chilled butter, 2 egg yolks, 2-3 Tbsp chilled water, For the filling:, 1 Tbsp butter, 2 diced onions, 1 large apple - peeled, cored and diced, grated rind, 1 lime, 1 Tbsp quick cooking oats, 1 tsp dried basil, 1 Tbsp fresh herbs, 2 Tbsp chopped gherkins, 400 gm sausage meat, 1 egg beaten, 1 tsp of milk to glaze",https://www.ndtv.com/cooks/images/apple%20sausage%20plait-620.jpg
Chicken and Fish Burger Recipe,45 mins,15 mins,30 mins,2.0,Medium,"2 Tbsp ginger-garlic paste, 3 tsp red chili powder, 1 1/2 tsp turmeric powder, 2 tsp coriander powder, Handful of curry leaves, 5 tbsp refined oil, to taste Salt, 100 gms chicken breast, 200 gms fish fillet, 200 gms rice flour (to coat), 2 tbsp mayonnaise, 3 tsp tomato ketchup, 1/2 tsp tabasco, 3  Burger buns, 1  Onion, 3  Tomatoes",https://www.ndtv.com/cooks/images/chicken%20and%20fish%2065%20burger%E2%80%99s.jpg
Chocolate Chip Cheesecake Recipe,50 mins,10 mins,40 mins,7.0,Easy,"For the base:, 18  Butter biscuits (broken into pieces), 75 gram Butter (softened), For the cheesecake:, 226 gram Cream cheese (softened), 5 tbsp Sugar, powdered, 1  Egg, 2 drops  Rose essence or Vanilla essence, 5 tbsp Chocolate chips",https://c.ndtvimg.com/2020-12/5ngs1rh8_chocolate-cake_625x300_21_December_20.jpg
Eggless Coffee Cupcakes Recipe,1 hr  10 seconds,15 mins 10 seconds,45 mins,4.0,Medium,"Dry ingredients:, 1 cup Maida/ flour, 1 tsp Baking powder, 3/4 cup Sugar, powdered, 1 1/2 tbsp Cocoa powder, Wet ingredients:, 1/2 tsp Vanilla essence, 5 tbsp Butter (softened, salted. In case you are using unsalted butter, add 1/4 tsp salt), 3/4 cup Milk (to make the batter smooth. Adjust the milk quantity according to your batter's smoothness), 1 tbsp Coffee powder + 1 tsp water, to make a paste (You can increase or decrease according to your coffee tolerance)",https://c.ndtvimg.com/2018-09/ebccjptg_cupcake_625x300_28_September_18.jpg
Potato Chicken Stew Recipe,55 mins,10 mins,45 mins,5.0,Medium,"1 Kg chicken, 4 tsp white vinegar, 1  Potato (cubed), 1  onion, chopped, 1 tsp garlic, chopped, 1 tsp ginger, chopped, 2  green chilies, chopped, 4  Green cardamoms, 4-5  Cloves, 1 inch  cinnamon, 2 cups coconut milk, 8-10  Curry leaves, 4 tsp oil, to taste salt",https://c.ndtvimg.com/2018-09/3l4e792_chicken-stew_625x300_13_September_18.jpg
Potato Corn Burgers Recipe,50 mins,15 mins,35 mins,4.0,Medium,"4 Tbsp Olive oil, 1/2  Leek, 1/3 cup Celery, chopped, 1/2  Onion, chopped, 1 cup Corn kernels (frozen), Few sprigs  Thyme, Few  Coriander leaves, 2 large Potatoes (peeled), roasted, 5-6 pieces Jalapenos (pickled), 1 tsp Garlic chives, chopped, 75 gram Feta cheese, 1 tbsp Corn flour, 2 tbsp Milk, 1 cup Bread crumbs, 4-5 tbsp Oil (for frying), 1  Tomato, 1  Lettuce leaf, Few  Gherkins, 3-4  Tomatoes",https://www.ndtv.com/cooks/images/Potato.Corn.Burgers.Large.jpg
Crumb-Fried Chicken Recipe,35 mins,10 mins,25 mins,6.0,Easy,"1 chicken - cut into 6 pieces, 2 eggs, 1 Tbsp garlic paste, 1/4 cup refined flour, Dash of black pepper, 1 Tbsp salt or to taste, Powdered bread crumbs to coat the chicken, Oil for deep-frying",https://c.ndtvimg.com/2019-01/auhf5aq_fried-chicken_625x300_28_January_19.jpg
Apple Pie with Raisin Relish Recipe,1 hr 25 mins,10 mins,1 hr 15 mins,4.0,Medium,"For apple pie filling:, 100 gm butter, 4 medium apple, 1/3 tsp cinnamon, 15 -20 gm sugar, For pie cover:, 100 gm flour, 100 gm icing sugar, 100 gm butter, 50 ml water, For raisin chutney:, 1 Tbsp whole mix spices, 100 gm raisin, 30 gm sugar, 20 ml lemon Juice, 20 ml orange Juice",https://i.ndtvimg.com/i/2017-11/applepie-with-raisin_620x330_51510136758.jpg
Submarines and Mayo Recipe,40 mins,10 mins,30 mins,1.0,Easy,"1 cup refined oil, 1 egg, 2 tbsp vinegar, 1/2 tsp sugar, Salt - to taste, 1/4 tsp black pepper powder, 1/4 tsp mustard powder or mustard oil, For Submarine Sandwich:, 1 French loaf (12 inches), 3-4 tbsp mayonnaise or olive oil, 4 salami slices, 4 ham slices, 2 cheese slices, 4 thinly sliced onions, Dried oregano - to taste, Mustard sauce - to taste, Lettuce leaves (optional)",https://www.ndtv.com/cooks/images/submarines%20and%20mayo_med.jpg
Hamburgers and Fries Recipe,1 hr 10 mins,10 mins,1 hr,4.0,Intermediate,"250 gm minced mutton, 4 Tbsp onions - finely chopped, 1/2 tsp ginger-garlic paste, 1/2 tsp black pepper powder, Salt - to taste  oil, 3-4 Tbsp butter, 3-4 burger buns, 4 tomato slices, 4 onion slices, Coleslaw (optional), Mayonnaise (optional), For French Fries:, 3-4 large potatoes, Salt - to taste, Pepper (optional), Oil - for deep frying",https://www.ndtv.com/cooks/images/hamburger_medium.jpg
Oreo Cookie Cheesecake Recipe,3 hrs 10 mins,10 mins,3 hrs,5.0,Intermediate,"25 oreo cookies, 4 Tbsp melted butter, 4 packets cream cheese, 4 Tbsp corn flour, 1 cup sugar, 4 eggs, 2 tsp vanilla essence, 2 bars melted chocolate (240 gm), 1/2 cup cream, 1/3 cup liquor of choice (optional)",https://www.ndtv.com/cooks/images/oreo.cookie.cheesecake.jpg
Chilli Cheese Toast Recipe,1 hr 20 mins,20 mins,1 hr,12.0,Easy,"1 cup cheese - grated, 1 tsp salt, chilli powder - to taste, 1 tbsp coriander leaves, green chillies - chopped (to taste), 1 tsp baking powder, milk - as required, 6 bread slices, oil - for deep frying",https://c.ndtvimg.com/2019-04/fn0ra9ag_sooji-toast_625x300_05_April_19.jpg
Strawberry Milkshake Recipe,15 mins,10 mins,05 mins,3.0,Easy,"200 Gram Strawberries, 2 tbsp Sugar, 400 ml Milk, 5-6 tbsp Strawberry Ice-Cream",https://www.ndtv.com/cooks/images/strawberry-milkshake_medium.jpg
Tanghulu Recipe,35 mins,15 mins,20 mins,5.0,Medium,"5  Strawberry, 5  Grapes, 5  Orange segments, 3/4 cup White sugar, 1/3 cup Water, 2 tbsp Light corn syrup, 5  12-inch Wooden skewers",https://c.ndtvimg.com/2024-01/1e6doeu_tanghulu-generic-1200_625x300_24_January_24.jpg
Chilli Paneer Frankie Recipe,30 mins,05 mins,25 mins,4.0,Easy,"For Paratha:, 1 cup Maida, 1 cup whole wheat Flour, 1/2 cup Curd, 1 tbsp Oil, For Frankie Masala, 2 tbsp Red chilli powder, 2 tbsp Coriander Powder, 1 tbsp Garam masala, 1/2 tbsp Turmeric, 1 tbsp Black Salt, For chilli paneer, 250 gram Paneer, 1/2 cup Capsicum, chopped, 1 cup Onion, chopped, 1/2 cups Spring Onion, 1 tbsp Soy Sauce, 1 tbsp Red Chilli Sauce, 1/2 tbsp Green Chilli Sauce, 1 tbsp Garlic, finely chopped, 1/2 tbsp Ginger, finely chopped, 2 tsp Green Chillies, finely chopped, 1 cup Onion, finely chopped, to taste Salt, 1/2 tsp Black pepper, As Required  Oil for frying, 1 cup Cornflour, 1/2 cup Maida, 1/2 tsp Ginger garlic paste",https://c.ndtvimg.com/2022-08/jv2vkgho_paneer-roll_625x300_22_August_22.jpg
Homemade Egg Noodles Recipe,1 hr,45 mins,15 mins,2.0,Easy,"2 cups  Wheat flour, 1 tsp  Salt, 3  Eggs",https://c.ndtvimg.com/2022-12/rsi853h_egg-noodles_625x300_12_December_22.jpg
Mango Chilli Chicken Recipe,35 mins,15 mins,20 mins,2.0,Easy,"500 gms Boneless chicken (cubed), 1/2 cup Mango Pulp, 1/2 cup Bell Pepper (Cubed), 1/2 cup Onion (Cubed), 1/4 cup Zucchini (Chopped), 1/2 cup Broccoli (Chopped), 1/4 cup Carrot Chopped, 2  Green Chillies (Slit), to taste Salt, to taste Black Pepper, 1 cup All Purpose Flour, 1/2 cup Cornflour, 1 tbsp Ginger-Garlic Paste, 1/2 tbsp Chopped Garlic, 1 tsp Corn starch, 2 tbsp Soya Sauce, 1 tbsp Green Chilli Sauce, to taste Red Chilli Sauce, to taste Vinegar, 1 tbsp Tomato ketchup",https://i.ndtvimg.com/i/2015-02/chilli-chicken_625x350_81424323578.jpg
Mushroom Noodles Recipe,30 mins,15 mins,15 mins,2.0,Easy,"200 gms Noodles, 300-400 gram Mushrooms, 1/2 tbsp Chopped Garlic, 1/2 tsp Chopped ginger, 1 tsp Chopped green chilies, 1/2 tsp Black pepper or white pepper, 1/2 cup Chopped spring onions, 1 to 2 tsp Finely chopped celery (optional), 2 to 2.5 tbsp Oil, 1 tbsp Soya Sauce, 1 tsp Rice vinegar or regular vinegar, Spring onion greens for garnish, salt as required",https://c.ndtvimg.com/2022-04/sigvgq2g_noodles_625x300_27_April_22.jpg
Chilli Chaap Recipe,25 mins,10 mins,15 mins,2.0,Easy,"5-6  Soya Chaap, 1 tbsp Ginger-garlic paste, 1  Dry red chilli, 1 medium Chopped onion, 1 small Chopped Capsicum, 1 tsp Soya Sauce, 1 tsp Red chilli sauce, 1 tsp Schezwan sauce, 1 and a half tsp Vinegar",https://c.ndtvimg.com/2021-12/eqhmjpag_chilli-chaap_625x300_22_December_21.jpg
Schezwan Dosa Recipe,30 mins,15 mins,15 mins,2.0,Easy,"2 and a half Cup Dosa Batter, 3/4 cup Noodles (Boiled), 1/4 cup Cabbage (Julienned), 1/4 cup Carrot (Julienned), 1/4 cup Capsicum (Julienned), 3 tbsp French Beans (Cut Diagonally), 1/2 tsp Ginger (Finely Chopped), 1 tsp Garlic (Finely Chopped), 2  Green Chillies (Cut Diagonally), 3 tbsp Spring Onion Greens (Cut Lengthwise), 1 tsp Soy sauce, 3/4 cup Schezwan Sauce, 1 cup Rice Vinegar, 2 tsp Tomato Ketchup, 1/2 tsp Black Pepper Powder, Salt to taste, 3 tsp Vegetable (Plus for cooking dosa)",https://c.ndtvimg.com/2021-12/h934bii_schezwan-dosa_625x300_16_December_21.jpg
Paneer Fried Rice Recipe,25 mins,15 mins,10 mins,2.0,Easy,"1/2 Cup Boiled Rice, 8-10  Paneer Cubes, 1 tbsp Ginger garlic paste, 1/2 tsp Red chilli powder, 1/2 tsp Pepper, 1 tsp Soya Sauce, Salt as per taste, 1  Chopped Onion, 1  Chopped Carrot, 1/2  Chopped Capsicum, 1/4 cup Chopped Mushroom",https://c.ndtvimg.com/2020-09/19g10na8_fried-rice_625x300_24_September_20.jpg
Sooji Manchurian Recipe,30 mins,15 mins,15 mins,2.0,Easy,"1 Cup Semolina, 2 tbsp Curd, 1 tsp Chopped Ginger, 1 tsp Chopped Garlic, 2-3  Chopped Green Chillies, 1/2 cup Cabbage (Finely Chopped), 1/2 cup Carrot (Finely Chopped), 1 and a half cup Capsicum (Cut into large pieces), 2  Onion (Diced), 1  Capsicum (Chopped), 1 tbsp Chili Sauce (Optional), 1 tbsp Tomato Ketchup, 1 tsp Mixed herbs, 2 tsp Soya Sauce",https://c.ndtvimg.com/2020-12/3eq2hi3_manchurian_625x300_21_December_20.jpg
Schezwan Roti Noodles Recipe,35 mins,20 mins,15 mins,,,"1  Cabbage (Thinly Sliced), 1  Capsicum, 1  Onion, 1  Carrot, 1  Green Chillies (Chopped), to taste Black Pepper, 2 tbsp Oil, 5 nos Roti",https://c.ndtvimg.com/2020-04/720p61v_noodles_625x300_16_April_20.jpg
Honey Chilli Paneer Recipe,35 mins,20 mins,15 mins,2.0,Easy,"2 tsp Honey, 1 tbsp Red chilli flakes, 250 gram Paneer, 4 tbsp Oil, 2  Onions, 2  Green capsicums, Salt to taste, 5-6  Garlic cloves, chopped, 1 tsp Ginger paste, Cornflour/ corn starch mixed with 4 tbsps water 3 tablespoons, 2 tsp Vinegar",https://c.ndtvimg.com/2020-07/0ad3kjng_chilli-paneer_625x300_27_July_20.jpg
Chilli Baby Corn Recipe,30 mins,15 mins,15 mins,2.0,,"For batter:, 4 tbsp Flour, 4 tbsp Cornstarch, 1/2 tsp Salt, 4 tbsp Water, 20  Babycorn, Oil for frying, For Sauce:, 1 tbsp Oil, 1/2 cup Spring Onion, 2 tsp Finely chopped garlic, 2 tsp Finely chopped ginger, 2 to 3 green chilies – slit or sliced, 1/3 cup Thinly sliced or finely chopped capsicum, 1/3 cup Soya Sauce, 1 tsp Green chilli sauce, 1/4 tsp Pepper, 1 tsp Sugar, Salt as required",https://c.ndtvimg.com/2021-10/pdd4ui4_chilli-baby-corn_625x300_08_October_21.jpg
Mushroom Manchurian Recipe,30 mins,15 mins,15 mins,2.0,Easy,"For Batter, 1/2 cup All Purpose Flour, 3 tbsp Cornflour, 1 tsp Ginger-garlic paste, 1/2 tsp Black Pepper, 1 tsp Soya Sauce, 1/2 cup Water, Mushroom Manchurian, 250 gms Button mushrooms, 4 small Spring onions, finely chopped, 3  Green Chillies, finely chopped, 2 tsp finely chopped garlic, 2 tsp finely chopped ginger, 1/2 tsp Black pepper powder, 1 tbsp soy sauce, 1 medium capsicum, sliced",https://c.ndtvimg.com/2021-09/9i8h5rdg_mushroom-manchurian_625x300_24_September_21.jpg
Momo Manchurian Recipe,30 mins,15 mins,15 mins,2.0,,"7-8  Momos, For Manchurian, 2 tbsp Soya sauce, 2 tbsp Vinegar, 1/2 tbsp Black pepper powder, Salt to taste, 1 tsp Green chilli sauce, 1 tsp Schezwan sauce, 1/2 tsp Brown Sugar, 2 tbsp chopped cilantro, 2 tbsp Chopped spring onion, 2 tbsp Chopped onion, 2 tbsp Chopped capsicum, 2 tbsp Chopped bell peppers, 2 tbsp Chopped carrot, 1 tsp Garlic-ginger paste",https://c.ndtvimg.com/2021-08/l5hamb9o_momos-manchurian_625x300_04_August_21.jpg
Chinese Idli Recipe,25 mins,15 mins,10 mins,2.0,Easy,"6 Pieces Idlis (cut in quarters), 2 tbsp Oil, 1/2 cup Chopped onion, 1 and 1/2 tbsp Finely chopped Garlic, 1 and 1/2 tbsp Finely chopped Ginger, 2  Green Chillies, 1/2 cup Chopped bell pepper, 2 tbsp Tomato ketchup, 2 tbsp Red chilli sauce, 1 tbsp Soya Sauce, 1 tbsp Vinegar, 1 tbsp Sugar, 1/2 tsp Red chilli powder",https://c.ndtvimg.com/2021-07/gglohp98_chinese-idli_625x300_27_July_21.jpg
Egg Manchurian Recipe,25 mins,10 mins,15 mins,2.0,Easy,"For batter, 4 tbsp Maida, 1 tbsp Cornflour, 1/2 tbsp Ginger garlic paste, to taste Salt, to taste Black Pepper, 5  Eggs, For Manchurian, 1/2 cup Sliced bell pepper, 2 tbsp Chopped onion, 1/2 tbsp Ginger garlic paste, 1/2 tsp Chopped green chillies, 1 tbsp Soya sauce, 1 tbsp Vinegar, 1 tbsp Chilli sauce/ schezwan, To garnish  Coriander Leaves, 1 tsp Tomato ketchup, to taste Salt and pepper",https://c.ndtvimg.com/2021-01/rlten3n8_manchurian_625x300_27_January_21.jpg
Burnt Garlic Mushroom Fried Rice Recipe,25 mins,10 mins,15 mins,2.0,Easy,"2  Boiled Basmati rice, 1/2 tsp oil, 2 tsp Sesame Oil, 4 cloves   Garlic (chopped), 4  pieces Green Onion (chopped), 1/2 cup French Beans (finely chopped), 1/2 cup Carrot ( chopped), 1/2 cup Capsicum (chopped), 1/2 tsp Black Pepper, 1 tsp Soya sauce, 1 tsp Vinegar, 1/2 Cup Mushroom, chopped",https://c.ndtvimg.com/2021-05/73ej1qko_mushroom-rice_625x300_04_May_21.jpg
Sheng Jian Bao Recipe,30 mins,15 mins,15 mins,2.0,Easy,"2 Cups All Purpose Flour, 1 tbsp Cornstarch, 3/4  tsp Instant Yeast, 1 tsp Sugar, 2/3 cup Warm water, 1 tbsp Vegetable Oil, 250 gram Pork, 1 tsp Soya Sauce, to taste Salt, 1/4 tsp White Pepper, 4 medium Green Onions (Sliced), 1 tbsp Sesame Oil",https://c.ndtvimg.com/2021-05/r7rsa0jo_bao_625x300_03_May_21.jpg
Stuffed Eggplant with Schezwan Sauce Recipe,40 mins,15 mins,25 mins,2.0,Medium,"100 gms mixed vegetables, chopped, 100 gms eggplant, 30 gms cottage cheese, 10 gms cornflour, 60 ml oil, 5 gms ginger, chopped, 5 gms celery, chopped, 5 gms onion, 5 gms garlic, 5 gms red chilli, 6 gms tomato, 5 gms oyster sauce, 5 ml rice wine, 5 ml vinegar, 5 gms salt, 5 gms castor sugar, 5 gms white pepper, 5 ml sesame oil, 10 gms corn flour, 3 gms sichuan pepper, 150 ml stock water",https://c.ndtvimg.com/2019-02/rok9r2o_eggplant_625x300_21_February_19.jpg
Almond and Chicken Momos (without shell) Recipe,30 mins,15 mins,15 mins,4.0,Easy,"250 gms chicken mince, 1 tbsp garlic, chopped, 3 tbsp carrots, finely chopped, 3 tbsp spring onion, finely chopped, 1 tbsp ginger, finely chopped, 1 tbsp soya sauce, 1 tbsp oyster sauce, 1 tsp sesame oil, 1 tsp pepper powder, 1  egg, 1/2 cup almonds (blanched), chopped, oil (for greasing)",https://c.ndtvimg.com/2019-02/cnc3bpi_almond-momos_625x300_11_February_19.jpg
Peri Peri Chicken Satay Recipe,2 hrs 40 mins,15 mins,2 hrs 25 mins,2.0,Medium,"200 gms boneless skinless chicken thigh (trimmed), to taste salt and pepper, 100 gms yogurt, 5 gms chilli powder, 25 gms ginger garlic paste, 5 gram coriander leaves, oil to fry, 50 gms peri peri sauce, 100 gms potato fries",https://c.ndtvimg.com/2018-11/slhertco_chicken-satay_625x300_21_November_18.jpg
Veg Hakka Noodles Recipe,30 mins,10 mins,20 mins,2.0,Easy,"Noodles, 1 tsp Salt, 1 tsp Oil, 1 tsp Garlic paste, 1 tsp Ginger paste, 1/2 cup Beans, 1/2 cup Cabbage, chopped, 1/2 cup Carrot, chopped, 1/2 cup Spring onion, chopped, 1/2 cup Capsicum, chopped, 2 tbsp Soy sauce, 2 tbsp Green chilli sauce, 1 tbsp Tomato sauce",https://c.ndtvimg.com/2024-09/b5dh98po_noodles_625x300_03_September_24.jpg
