Title,Total Cook Time,Prep Time,Cook Time,Recipe Servings,Difficulty,Ingredients,Image Link
Apple Pie with Raisin Relish Recipe,1 hr 25 mins,10 mins,1 hr 15 mins,4,Medium,"For apple pie filling:, 100 gm butter, 4 medium apple, 1/3 tsp cinnamon, 15 -20 gm sugar, For pie cover:, 100 gm flour, 100 gm icing sugar, 100 gm butter, 50 ml water, For raisin chutney:, 1 Tbsp whole mix spices, 100 gm raisin, 30 gm sugar, 20 ml lemon Juice, 20 ml orange Juice",https://i.ndtvimg.com/i/2017-11/applepie-with-raisin_620x330_51510136758.jpg
Submarines and Mayo Recipe,40 mins,10 mins,30 mins,1,Easy,"1 cup refined oil, 1 egg, 2 tbsp vinegar, 1/2 tsp sugar, Salt - to taste, 1/4 tsp black pepper powder, 1/4 tsp mustard powder or mustard oil, For Submarine Sandwich:, 1 French loaf (12 inches), 3-4 tbsp mayonnaise or olive oil, 4 salami slices, 4 ham slices, 2 cheese slices, 4 thinly sliced onions, Dried oregano - to taste, Mustard sauce - to taste, Lettuce leaves (optional)",https://www.ndtv.com/cooks/images/submarines%20and%20mayo_med.jpg
Hamburgers and Fries Recipe,1 hr 10 mins,10 mins,1 hr,4,Intermediate,"250 gm minced mutton, 4 Tbsp onions - finely chopped, 1/2 tsp ginger-garlic paste, 1/2 tsp black pepper powder, Salt - to taste  oil, 3-4 Tbsp butter, 3-4 burger buns, 4 tomato slices, 4 onion slices, Coleslaw (optional), Mayonnaise (optional), For French Fries:, 3-4 large potatoes, Salt - to taste, Pepper (optional), Oil - for deep frying",https://www.ndtv.com/cooks/images/hamburger_medium.jpg
Oreo Cookie Cheesecake Recipe,3 hrs 10 mins,10 mins,3 hrs,5,Intermediate,"25 oreo cookies, 4 Tbsp melted butter, 4 packets cream cheese, 4 Tbsp corn flour, 1 cup sugar, 4 eggs, 2 tsp vanilla essence, 2 bars melted chocolate (240 gm), 1/2 cup cream, 1/3 cup liquor of choice (optional)",https://www.ndtv.com/cooks/images/oreo.cookie.cheesecake.jpg
Chilli Cheese Toast Recipe,1 hr 20 mins,20 mins,1 hr,12,Easy,"1 cup cheese - grated, 1 tsp salt, chilli powder - to taste, 1 tbsp coriander leaves, green chillies - chopped (to taste), 1 tsp baking powder, milk - as required, 6 bread slices, oil - for deep frying",https://c.ndtvimg.com/2019-04/fn0ra9ag_sooji-toast_625x300_05_April_19.jpg
Strawberry Milkshake Recipe,15 mins,10 mins,05 mins,3,Easy,"200 Gram Strawberries, 2 tbsp Sugar, 400 ml Milk, 5-6 tbsp Strawberry Ice-Cream",https://www.ndtv.com/cooks/images/strawberry-milkshake_medium.jpg
पनीर पैनकेक रेसिपी (Paneer Pancake   Recipe),25 मिनट,10 मिनट,15 मिनट,2,आसान,"250 gms पनीर (घर का बना पनीर), 2  अंडे, या फ्लैक्स मील एग रिप्लेसर, 3 टेबल स्पून चीनी, 1/2 टी स्पून बेकिंग पाउडर, 1/2 कप गेहूं का आटा, एक चुटकी नमक, 2 टेबल स्पून दूध, 2 टेबल स्पून मक्खन (नमकीन)",https://c.ndtvimg.com/2018-10/foisgos_spinach-pancake_625x300_18_October_18.jpg
पम्पकीन पाइ रेसिपी (Pumpkin Pie   Recipe),2 घंटे 30 मिनट,15 मिनट,2 घंटे 15 मिनट,2,मीडियम,"1 पाव कद्दू, 1 चौथाई दूध, 4 अंडे (अच्छी तरह से फेंटा हुआ), 1/2 कप मोलाफ, 1 चम्मच अदरक, 1 चम्मच सभी मसाले, 2 पाई क्रस्ट",https://c.ndtvimg.com/2020-11/vf3409h8_pumpkin-pie_625x300_26_November_20.jpg
ओट्स एंड सोया पैनकेक रेसिपी (Oat and soya pancakes    Recipe),30 मिनट,10 मिनट,20 मिनट,4,आसान,"200 gms ओट्स, 150 ग्राम सोया आटा, 2  मिर्च, 1 टी स्पून हरा धनिया, 1 टी स्पून अदरक लहसुन पेस्ट",https://i.ndtvimg.com/i/2017-10/oats-pancake_620x350_61508836379.jpg
कैरेट केक पैनकेक रेसिपी (Carrot cake pancakes   Recipe),45 मिनट,20 मिनट,25 मिनट,2,आसान,"250 gms ओट्स फ्लार, 1/2 टी स्पून नमक, 1/4 टी स्पून बेकिंग सोडा, 1 टी स्पून बेकिंग पाउडर, 2 टी स्पून दालचीनी पाउडर, 1/4 टी स्पून अदरक पाउडर, 1/4 टी स्पून जायफल पाउडर, 180 ml (मिली.) बादाम या सोया मिल्क, 2 टेबल स्पून नारियल तेल, 1 टेबल स्पून मैपल सिरप, 1  अंडा, 120  गाजर , कद्दूकस",https://c.ndtvimg.com/2019-09/1snbrr58_carrot-pancake_625x300_25_September_19.jpg
स्पीनेच एंड बनाना पैनकेक रेसिपी (Spinach & banana pancakes   Recipe),35 मिनट,15 मिनट,20 मिनट,2,आसान,"240 gms रोल्ड ओट्स, 150 ml (मिली.) दूध, 200 ग्राम पालक, 1 (पका हुआ)  केला, 1  अंडा, 1/2 टी स्पून दालचीनी पाउडर, 1/2 टी स्पून वनिला एक्सट्रैक्ट, 1 टी स्पून बेकिंग पाउडर",https://c.ndtvimg.com/2019-09/k8okdkfo_pancakes_625x300_25_September_19.jpg
वीगन पम्पकीन पैनकेक रेसिपी (Vegan pumpkin pancakes   Recipe),40 मिनट,15 मिनट,25 मिनट,2,आसान,"80 gms पम्पकीन प्यूरी, 28 ml (मिली.) बादाम का दूध, 240 ग्राम चिकपी फ्लार, 1/2 टी स्पून दालचीनी पाउडर, 1/2  जायफल पाउडर, 1/2 टी स्पून लौंग पाउडर, 1/2 टी स्पून बेकिंग पाउडर, एक चुटकी नमक",https://c.ndtvimg.com/2019-09/a1pdeg2o_pancakes_625x300_25_September_19.jpg
पोटैटो चिकन स्टू रेसिपी (Potato chicken stew   Recipe),55 मिनट,10 मिनट,45 मिनट,5,मीडियम,"1 kg चिकन, 4 टी स्पून सफेद सिरका, 1 (टुकड़ों में कटा हुआ)  पोटैटो, 1  प्याज, टुकड़ों में कटा हुआ, 1 टी स्पून लहसुन, कद्दूकस, 1 टी स्पून अदरक, टुकड़ों में कटा हुआ, 2  हरी मिर्च, टुकड़ों में कटा हुआ, 4  हरी इलाइची, एक इंच  दालचीनी, 2 कप नारियल का दूध, 8-10  कढ़ीपत्ता, 4 टी स्पून तेल, स्वादानुसार नमक",https://c.ndtvimg.com/2018-10/3poqmg1_chicken_625x300_03_October_18.jpg
स्लूपी जोस रेसिपी (Sloppy Joes   Recipe),45 मिनट,10 मिनट,35 मिनट,2,आसान,"2-3 पीस  ब्रेड, 2 टेबल स्पून चेद्दार चीज, कीमा बनाने की सामग्रीः, 1  प्याज, 1  अदरक, 3 कली  लहसुन, 1  हरी मिर्च, 1 टी स्पून तेल, 200 ग्राम कीमा, 1 टी स्पून जीरा पाउडर, 1 टी स्पून रोजमैरी, नमक, ¼  कप रेड वाइन, 1 कप टमाटर का जूस, 1 (उबला और कद्दूकस हुआ)  आलू, धनिया पत्ती, टुकड़ों में कटा हुआ, 1  टमाटर, टुकड़ों में कटा हुआ, बैंगन बनाने की सामग्रीः, 3  छोटे बैंगन, 1 टी स्पून जीरा पाउडर, 1 टी स्पून तेल, नमक",https://i.ndtvimg.com/i/2017-11/sloppy-joes_620x330_51510661777.jpg
Tanghulu Recipe,35 mins,15 mins,20 mins,5,Medium,"5  Strawberry, 5  Grapes, 5  Orange segments, 3/4 cup White sugar, 1/3 cup Water, 2 tbsp Light corn syrup, 5  12-inch Wooden skewers",https://c.ndtvimg.com/2024-01/1e6doeu_tanghulu-generic-1200_625x300_24_January_24.jpg
Chilli Paneer Frankie Recipe,30 mins,05 mins,25 mins,4,Easy,"For Paratha:, 1 cup Maida, 1 cup whole wheat Flour, 1/2 cup Curd, 1 tbsp Oil, For Frankie Masala, 2 tbsp Red chilli powder, 2 tbsp Coriander Powder, 1 tbsp Garam masala, 1/2 tbsp Turmeric, 1 tbsp Black Salt, For chilli paneer, 250 gram Paneer, 1/2 cup Capsicum, chopped, 1 cup Onion, chopped, 1/2 cups Spring Onion, 1 tbsp Soy Sauce, 1 tbsp Red Chilli Sauce, 1/2 tbsp Green Chilli Sauce, 1 tbsp Garlic, finely chopped, 1/2 tbsp Ginger, finely chopped, 2 tsp Green Chillies, finely chopped, 1 cup Onion, finely chopped, to taste Salt, 1/2 tsp Black pepper, As Required  Oil for frying, 1 cup Cornflour, 1/2 cup Maida, 1/2 tsp Ginger garlic paste",https://c.ndtvimg.com/2022-08/jv2vkgho_paneer-roll_625x300_22_August_22.jpg
Homemade Egg Noodles Recipe,1 hr,45 mins,15 mins,2,Easy,"2 cups  Wheat flour, 1 tsp  Salt, 3  Eggs",https://c.ndtvimg.com/2022-12/rsi853h_egg-noodles_625x300_12_December_22.jpg
Mango Chilli Chicken Recipe,35 mins,15 mins,20 mins,2,Easy,"500 gms Boneless chicken (cubed), 1/2 cup Mango Pulp, 1/2 cup Bell Pepper (Cubed), 1/2 cup Onion (Cubed), 1/4 cup Zucchini (Chopped), 1/2 cup Broccoli (Chopped), 1/4 cup Carrot Chopped, 2  Green Chillies (Slit), to taste Salt, to taste Black Pepper, 1 cup All Purpose Flour, 1/2 cup Cornflour, 1 tbsp Ginger-Garlic Paste, 1/2 tbsp Chopped Garlic, 1 tsp Corn starch, 2 tbsp Soya Sauce, 1 tbsp Green Chilli Sauce, to taste Red Chilli Sauce, to taste Vinegar, 1 tbsp Tomato ketchup",https://i.ndtvimg.com/i/2015-02/chilli-chicken_625x350_81424323578.jpg
Mushroom Noodles Recipe,30 mins,15 mins,15 mins,2,Easy,"200 gms Noodles, 300-400 gram Mushrooms, 1/2 tbsp Chopped Garlic, 1/2 tsp Chopped ginger, 1 tsp Chopped green chilies, 1/2 tsp Black pepper or white pepper, 1/2 cup Chopped spring onions, 1 to 2 tsp Finely chopped celery (optional), 2 to 2.5 tbsp Oil, 1 tbsp Soya Sauce, 1 tsp Rice vinegar or regular vinegar, Spring onion greens for garnish, salt as required",https://c.ndtvimg.com/2022-04/sigvgq2g_noodles_625x300_27_April_22.jpg
Chilli Chaap Recipe,25 mins,10 mins,15 mins,2,Easy,"5-6  Soya Chaap, 1 tbsp Ginger-garlic paste, 1  Dry red chilli, 1 medium Chopped onion, 1 small Chopped Capsicum, 1 tsp Soya Sauce, 1 tsp Red chilli sauce, 1 tsp Schezwan sauce, 1 and a half tsp Vinegar",https://c.ndtvimg.com/2021-12/eqhmjpag_chilli-chaap_625x300_22_December_21.jpg
Schezwan Dosa Recipe,30 mins,15 mins,15 mins,2,Easy,"2 and a half Cup Dosa Batter, 3/4 cup Noodles (Boiled), 1/4 cup Cabbage (Julienned), 1/4 cup Carrot (Julienned), 1/4 cup Capsicum (Julienned), 3 tbsp French Beans (Cut Diagonally), 1/2 tsp Ginger (Finely Chopped), 1 tsp Garlic (Finely Chopped), 2  Green Chillies (Cut Diagonally), 3 tbsp Spring Onion Greens (Cut Lengthwise), 1 tsp Soy sauce, 3/4 cup Schezwan Sauce, 1 cup Rice Vinegar, 2 tsp Tomato Ketchup, 1/2 tsp Black Pepper Powder, Salt to taste, 3 tsp Vegetable (Plus for cooking dosa)",https://c.ndtvimg.com/2021-12/h934bii_schezwan-dosa_625x300_16_December_21.jpg
Paneer Fried Rice Recipe,25 mins,15 mins,10 mins,2,Easy,"1/2 Cup Boiled Rice, 8-10  Paneer Cubes, 1 tbsp Ginger garlic paste, 1/2 tsp Red chilli powder, 1/2 tsp Pepper, 1 tsp Soya Sauce, Salt as per taste, 1  Chopped Onion, 1  Chopped Carrot, 1/2  Chopped Capsicum, 1/4 cup Chopped Mushroom",https://c.ndtvimg.com/2020-09/19g10na8_fried-rice_625x300_24_September_20.jpg
Sooji Manchurian Recipe,30 mins,15 mins,15 mins,2,Easy,"1 Cup Semolina, 2 tbsp Curd, 1 tsp Chopped Ginger, 1 tsp Chopped Garlic, 2-3  Chopped Green Chillies, 1/2 cup Cabbage (Finely Chopped), 1/2 cup Carrot (Finely Chopped), 1 and a half cup Capsicum (Cut into large pieces), 2  Onion (Diced), 1  Capsicum (Chopped), 1 tbsp Chili Sauce (Optional), 1 tbsp Tomato Ketchup, 1 tsp Mixed herbs, 2 tsp Soya Sauce",https://c.ndtvimg.com/2020-12/3eq2hi3_manchurian_625x300_21_December_20.jpg
Schezwan Roti Noodles Recipe,35 mins,20 mins,15 mins,N/A,N/A,"1  Cabbage (Thinly Sliced), 1  Capsicum, 1  Onion, 1  Carrot, 1  Green Chillies (Chopped), to taste Black Pepper, 2 tbsp Oil, 5 nos Roti",https://c.ndtvimg.com/2020-04/720p61v_noodles_625x300_16_April_20.jpg
Honey Chilli Paneer Recipe,35 mins,20 mins,15 mins,2,Easy,"2 tsp Honey, 1 tbsp Red chilli flakes, 250 gram Paneer, 4 tbsp Oil, 2  Onions, 2  Green capsicums, Salt to taste, 5-6  Garlic cloves, chopped, 1 tsp Ginger paste, Cornflour/ corn starch mixed with 4 tbsps water 3 tablespoons, 2 tsp Vinegar",https://c.ndtvimg.com/2020-07/0ad3kjng_chilli-paneer_625x300_27_July_20.jpg
Chilli Baby Corn Recipe,30 mins,15 mins,15 mins,2,N/A,"For batter:, 4 tbsp Flour, 4 tbsp Cornstarch, 1/2 tsp Salt, 4 tbsp Water, 20  Babycorn, Oil for frying, For Sauce:, 1 tbsp Oil, 1/2 cup Spring Onion, 2 tsp Finely chopped garlic, 2 tsp Finely chopped ginger, 2 to 3 green chilies – slit or sliced, 1/3 cup Thinly sliced or finely chopped capsicum, 1/3 cup Soya Sauce, 1 tsp Green chilli sauce, 1/4 tsp Pepper, 1 tsp Sugar, Salt as required",https://c.ndtvimg.com/2021-10/pdd4ui4_chilli-baby-corn_625x300_08_October_21.jpg
Mushroom Manchurian Recipe,30 mins,15 mins,15 mins,2,Easy,"For Batter, 1/2 cup All Purpose Flour, 3 tbsp Cornflour, 1 tsp Ginger-garlic paste, 1/2 tsp Black Pepper, 1 tsp Soya Sauce, 1/2 cup Water, Mushroom Manchurian, 250 gms Button mushrooms, 4 small Spring onions, finely chopped, 3  Green Chillies, finely chopped, 2 tsp finely chopped garlic, 2 tsp finely chopped ginger, 1/2 tsp Black pepper powder, 1 tbsp soy sauce, 1 medium capsicum, sliced",https://c.ndtvimg.com/2021-09/9i8h5rdg_mushroom-manchurian_625x300_24_September_21.jpg
Momo Manchurian Recipe,30 mins,15 mins,15 mins,2,N/A,"7-8  Momos, For Manchurian, 2 tbsp Soya sauce, 2 tbsp Vinegar, 1/2 tbsp Black pepper powder, Salt to taste, 1 tsp Green chilli sauce, 1 tsp Schezwan sauce, 1/2 tsp Brown Sugar, 2 tbsp chopped cilantro, 2 tbsp Chopped spring onion, 2 tbsp Chopped onion, 2 tbsp Chopped capsicum, 2 tbsp Chopped bell peppers, 2 tbsp Chopped carrot, 1 tsp Garlic-ginger paste",https://c.ndtvimg.com/2021-08/l5hamb9o_momos-manchurian_625x300_04_August_21.jpg
